split,game_id,game_date,team_blue,team_red,winning_team,game_time,gold_diff,gold_diff_at14
LEC Winter 2023,45323,2023-02-06,Team Vitality,GIANTX,Team Vitality,3246,-2300,-951
LEC Winter 2023,45322,2023-02-06,Movistar KOI,G2 Esports,Movistar KOI,1490,8600,-142
LEC Winter 2023,45321,2023-02-06,SK Gaming,Fnatic,SK Gaming,1796,6100,1147
LEC Winter 2023,45320,2023-02-06,Movistar KOI,Astralis,Movistar KOI,1846,16000,541
LEC Winter 2023,45319,2023-02-06,Team BDS,Team Heretics,Team BDS,2273,8500,37
LEC Winter 2023,45318,2023-02-05,G2 Esports,Movistar KOI,G2 Esports,1634,15100,3229
LEC Winter 2023,45317,2023-02-05,Astralis,Fnatic,Astralis,1617,11600,1181
LEC Winter 2023,45316,2023-02-05,Team Heretics,Movistar KOI,Movistar KOI,2006,-500,1701
LEC Winter 2023,45315,2023-02-05,Team BDS,Team Vitality,Team Vitality,2673,-3300,-2298
LEC Winter 2023,45314,2023-02-05,SK Gaming,GIANTX,SK Gaming,2102,8200,-2553
LEC Winter 2023,45313,2023-02-04,Movistar KOI,Team Vitality,Movistar KOI,2033,9600,977
LEC Winter 2023,45312,2023-02-04,Fnatic,Movistar KOI,Movistar KOI,1492,-11500,-7709
LEC Winter 2023,45311,2023-02-04,G2 Esports,Team BDS,G2 Esports,1886,10000,82
LEC Winter 2023,45310,2023-02-04,GIANTX,Team Heretics,Team Heretics,1577,-14400,-2277
LEC Winter 2023,45309,2023-02-04,Astralis,SK Gaming,Astralis,2322,4400,-2102
LEC Winter 2023,44941,2023-01-30,Fnatic,Team Heretics,Team Heretics,2440,-5400,2936
LEC Winter 2023,44940,2023-01-30,G2 Esports,Team Vitality,Team Vitality,2211,-12400,-1863
LEC Winter 2023,44939,2023-01-30,SK Gaming,Movistar KOI,SK Gaming,1778,9600,305
LEC Winter 2023,44938,2023-01-30,Team BDS,Movistar KOI,Team BDS,2392,8300,1759
LEC Winter 2023,44937,2023-01-30,GIANTX,Astralis,Astralis,1884,-10700,-3423
LEC Winter 2023,44936,2023-01-29,Movistar KOI,Movistar KOI,Movistar KOI,1813,-11900,-3062
LEC Winter 2023,44935,2023-01-29,GIANTX,Fnatic,Fnatic,2105,-1100,1488
LEC Winter 2023,44934,2023-01-29,Team Heretics,G2 Esports,G2 Esports,1125,-13700,-8048
LEC Winter 2023,44933,2023-01-29,Team Vitality,SK Gaming,SK Gaming,1867,-8500,427
LEC Winter 2023,44932,2023-01-29,Astralis,Team BDS,Team BDS,1910,-14000,-925
LEC Winter 2023,44931,2023-01-28,Movistar KOI,GIANTX,Movistar KOI,1538,12000,1723
LEC Winter 2023,44930,2023-01-28,SK Gaming,G2 Esports,SK Gaming,2082,5800,922
LEC Winter 2023,44929,2023-01-28,Team Heretics,Movistar KOI,Team Heretics,2673,8900,984
LEC Winter 2023,44928,2023-01-28,Fnatic,Team BDS,Team BDS,2288,-11300,-2727
LEC Winter 2023,44927,2023-01-28,Team Vitality,Astralis,Team Vitality,1892,7600,-74
LEC Winter 2023,44618,2023-01-23,Movistar KOI,Team Vitality,Team Vitality,1762,-10700,-2593
LEC Winter 2023,44617,2023-01-23,Movistar KOI,Fnatic,Fnatic,2072,-12000,1894
LEC Winter 2023,44616,2023-01-23,G2 Esports,Astralis,G2 Esports,1493,16200,3847
LEC Winter 2023,44615,2023-01-23,Team BDS,GIANTX,GIANTX,2773,-5200,1029
LEC Winter 2023,44614,2023-01-23,Team Heretics,SK Gaming,SK Gaming,1928,-5600,-307
LEC Winter 2023,44613,2023-01-22,Fnatic,G2 Esports,G2 Esports,1435,-17300,-7109
LEC Winter 2023,44612,2023-01-22,GIANTX,Movistar KOI,KOI,2426,-3900,-1930
LEC Winter 2023,44611,2023-01-22,Team Vitality,Team Heretics,Team Vitality,1701,11500,1640
LEC Winter 2023,44610,2023-01-22,Astralis,Movistar KOI,Movistar KOI,1761,-9200,-539
LEC Winter 2023,44609,2023-01-22,SK Gaming,Team BDS,Team BDS,2412,-9600,184
LEC Winter 2023,44608,2023-01-21,Team Vitality,Fnatic,Team Vitality,1982,1800,362
LEC Winter 2023,44607,2023-01-21,Movistar KOI,SK Gaming,Movistar KOI,1659,13900,1929
LEC Winter 2023,44606,2023-01-21,Astralis,Team Heretics,Team Heretics,2155,-5800,2155
LEC Winter 2023,44605,2023-01-21,Movistar KOI,Team BDS,Movistar KOI,2193,11600,1432
LEC Winter 2023,44604,2023-01-21,GIANTX,G2 Esports,G2 Esports,1826,-14500,-3187
LEC Winter Groups 2023,46344,2023-02-19,Movistar KOI,Astralis,Movistar KOI,1891,6400,2028
LEC Winter Groups 2023,46341,2023-02-19,Team Vitality,SK Gaming,SK Gaming,2386,800,4222
LEC Winter Groups 2023,46109,2023-02-18,Team BDS,Astralis,Team BDS,2171,11700,398
LEC Winter Groups 2023,46106,2023-02-18,SK Gaming,Team Heretics,SK Gaming,1763,3100,-1701
LEC Winter Groups 2023,45947,2023-02-13,Movistar KOI,G2 Esports,G2 Esports,1708,-17700,-591
LEC Winter Groups 2023,45944,2023-02-13,Team Vitality,Movistar KOI,KOI,1998,-2500,-356
LEC Winter Groups 2023,45742,2023-02-12,G2 Esports,Team BDS,G2 Esports,1864,13100,343
LEC Winter Groups 2023,45739,2023-02-12,Movistar KOI,Astralis,Movistar KOI,1652,12700,1188
LEC Winter Groups 2023,45736,2023-02-11,Movistar KOI,SK Gaming,Movistar KOI,1653,12700,2706
LEC Winter Groups 2023,45733,2023-02-11,Team Vitality,Team Heretics,Team Vitality,1616,14000,3692
LEC Winter Groups 2023,46345,2023-02-19,Astralis,Movistar KOI,Movistar KOI,1511,-7000,-3176
LEC Winter Groups 2023,46342,2023-02-19,Team Vitality,SK Gaming,SK Gaming,1441,-15200,-3005
LEC Winter Groups 2023,46110,2023-02-18,Astralis,Team BDS,Astralis,2341,11300,978
LEC Winter Groups 2023,46111,2023-02-18,Team BDS,Astralis,Astralis,1724,-14300,-5710
LEC Winter Groups 2023,46107,2023-02-18,Team Heretics,SK Gaming,SK Gaming,2361,-6800,925
LEC Winter Groups 2023,45948,2023-02-13,G2 Esports,Movistar KOI,G2 Esports,1735,10400,-309
LEC Winter Groups 2023,45945,2023-02-13,Movistar KOI,Team Vitality,Movistar KOI,1594,8400,5266
LEC Winter Groups 2023,45743,2023-02-12,Team BDS,G2 Esports,Team BDS,2186,10900,1830
LEC Winter Groups 2023,45744,2023-02-12,G2 Esports,Team BDS,G2 Esports,1374,17900,7460
LEC Winter Groups 2023,45740,2023-02-12,Astralis,Movistar KOI,Astralis,1632,6900,-374
LEC Winter Groups 2023,45741,2023-02-12,Movistar KOI,Astralis,Movistar KOI,1753,7500,495
LEC Winter Groups 2023,45737,2023-02-11,SK Gaming,Movistar KOI,KOI,2137,-9600,-1847
LEC Winter Groups 2023,45734,2023-02-11,Team Vitality,Team Heretics,Team Heretics,1589,-13400,-3562
LEC Winter Groups 2023,45735,2023-02-11,Team Vitality,Team Heretics,Team Vitality,2381,5700,-61
LEC Winter Playoffs 2023,46778,2023-02-26,G2 Esports,Movistar KOI,G2 Esports,1514,13500,1632
LEC Winter Playoffs 2023,46774,2023-02-25,Movistar KOI,Movistar KOI,Movistar KOI,1653,16300,4622
LEC Winter Playoffs 2023,46473,2023-02-24,Movistar KOI,SK Gaming,Movistar KOI,1932,9500,2270
LEC Winter Playoffs 2023,46347,2023-02-20,G2 Esports,Movistar KOI,G2 Esports,1730,10400,-1228
LEC Winter Playoffs 2023,46779,2023-02-26,Movistar KOI,G2 Esports,G2 Esports,1662,-15800,-4363
LEC Winter Playoffs 2023,46780,2023-02-26,Movistar KOI,G2 Esports,G2 Esports,2489,-5900,547
LEC Winter Playoffs 2023,46775,2023-02-25,Movistar KOI,Movistar KOI,Movistar KOI,2107,14000,-1178
LEC Winter Playoffs 2023,46776,2023-02-25,Movistar KOI,Movistar KOI,Movistar KOI,1865,-5900,1572
LEC Winter Playoffs 2023,46777,2023-02-25,Movistar KOI,Movistar KOI,Movistar KOI,1756,-10100,-2711
LEC Winter Playoffs 2023,46474,2023-02-24,SK Gaming,Movistar KOI,SK Gaming,1958,9900,623
LEC Winter Playoffs 2023,46475,2023-02-24,Movistar KOI,SK Gaming,Movistar KOI,1472,15600,3583
LEC Winter Playoffs 2023,46476,2023-02-24,SK Gaming,Movistar KOI,SK Gaming,2009,7500,387
LEC Winter Playoffs 2023,46477,2023-02-24,Movistar KOI,SK Gaming,Movistar KOI,1692,11400,4139
LEC Winter Playoffs 2023,46348,2023-02-20,Movistar KOI,G2 Esports,G2 Esports,1404,-14900,-8069
LEC Winter Playoffs 2023,46349,2023-02-20,Movistar KOI,G2 Esports,Movistar KOI,1589,9700,3997
LEC Winter Playoffs 2023,46350,2023-02-20,G2 Esports,Movistar KOI,G2 Esports,2337,8900,-1735
LEC Spring Season 2023,48429,2023-03-27,Team Heretics,Movistar KOI,Movistar KOI,2078,-4400,122
LEC Spring Season 2023,48184,2023-03-27,Movistar KOI,Team Vitality,Team Vitality,1597,-15200,-3881
LEC Spring Season 2023,48183,2023-03-27,Movistar KOI,G2 Esports,G2 Esports,1686,-13900,-6132
LEC Spring Season 2023,48182,2023-03-27,Astralis,Fnatic,Astralis,2222,6000,-3453
LEC Spring Season 2023,48181,2023-03-27,Team Heretics,SK Gaming,Team Heretics,1939,11800,2291
LEC Spring Season 2023,48180,2023-03-27,Team BDS,GIANTX,Team BDS,2350,13000,2990
LEC Spring Season 2023,48179,2023-03-26,G2 Esports,Fnatic,Fnatic,1963,-4200,1022
LEC Spring Season 2023,48178,2023-03-26,Team Vitality,Team Heretics,Team Vitality,2275,9200,492
LEC Spring Season 2023,48177,2023-03-26,Movistar KOI,Team BDS,Team BDS,2374,-2400,419
LEC Spring Season 2023,48176,2023-03-26,Movistar KOI,SK Gaming,Movistar KOI,2089,14500,3523
LEC Spring Season 2023,48175,2023-03-26,GIANTX,Astralis,Astralis,1310,-9900,-3556
