split,game_id,game_date,team_blue,team_red,winning_team,game_time,gold_diff,gold_diff_at14
LEC 2025 Summer Season,71523,2025-08-26,Natus Vincere,GIANTX,GIANTX,2448,-7200,259
LEC 2025 Summer Season,71520,2025-08-26,Team Vitality,Movistar KOI,Movistar KOI,2553,-15700,-738
LEC 2025 Summer Season,71517,2025-08-25,Team BDS,Team Heretics,Team Heretics,1825,-12400,-2723
LEC 2025 Summer Season,71514,2025-08-25,SK Gaming,G2 Esports,G2 Esports,1583,-13300,-3587
LEC 2025 Summer Season,71040,2025-08-18,G2 Esports,Team BDS,G2 Esports,2228,11500,-9
LEC 2025 Summer Season,71037,2025-08-18,Karmine Corp,Team Vitality,Karmine Corp,1560,17400,5645
LEC 2025 Summer Season,71034,2025-08-17,Fnatic,G2 Esports,G2 Esports,1910,-12200,-730
LEC 2025 Summer Season,71031,2025-08-17,Team Vitality,Natus Vincere,Team Vitality,1753,11800,821
LEC 2025 Summer Season,71028,2025-08-16,Team Heretics,SK Gaming,SK Gaming,2369,-8500,1119
LEC 2025 Summer Season,71025,2025-08-16,Movistar KOI,Natus Vincere,Movistar KOI,2127,9200,-153
LEC 2025 Summer Season,70721,2025-08-10,Karmine Corp,Movistar KOI,Karmine Corp,1848,8800,1497
LEC 2025 Summer Season,70718,2025-08-10,Fnatic,Team BDS,Fnatic,1714,17600,1771
LEC 2025 Summer Season,70715,2025-08-09,Movistar KOI,GIANTX,GIANTX,2183,-13400,21
LEC 2025 Summer Season,70712,2025-08-09,G2 Esports,Team Heretics,G2 Esports,1712,13900,2440
LEC 2025 Summer Season,70379,2025-08-04,GIANTX,Team Vitality,GIANTX,1787,12200,-60
LEC 2025 Summer Season,70376,2025-08-04,SK Gaming,Fnatic,Fnatic,1453,-9400,-1248
LEC 2025 Summer Season,70373,2025-08-03,GIANTX,Karmine Corp,Karmine Corp,2296,-9800,1786
LEC 2025 Summer Season,70370,2025-08-03,Team BDS,SK Gaming,Team BDS,2376,10400,1263
LEC 2025 Summer Season,70367,2025-08-02,Team Heretics,Fnatic,Fnatic,2046,-3600,-596
LEC 2025 Summer Season,70364,2025-08-02,Natus Vincere,Karmine Corp,Karmine Corp,1676,-13800,-645
LEC 2025 Summer Season,71524,2025-08-26,Natus Vincere,GIANTX,GIANTX,1656,-12100,-1695
LEC 2025 Summer Season,71521,2025-08-26,Movistar KOI,Team Vitality,Movistar KOI,1839,15500,596
LEC 2025 Summer Season,71518,2025-08-25,Team Heretics,Team BDS,Team BDS,2377,-6100,-643
LEC 2025 Summer Season,71519,2025-08-25,Team Heretics,Team BDS,Team Heretics,2123,5700,1495
LEC 2025 Summer Season,71515,2025-08-25,G2 Esports,SK Gaming,G2 Esports,1854,7200,67
LEC 2025 Summer Season,71041,2025-08-18,G2 Esports,Team BDS,G2 Esports,1582,11600,1104
LEC 2025 Summer Season,71038,2025-08-18,Karmine Corp,Team Vitality,Team Vitality,1961,-10000,471
LEC 2025 Summer Season,71039,2025-08-18,Karmine Corp,Team Vitality,Team Vitality,2374,-9500,1164
LEC 2025 Summer Season,71035,2025-08-17,Fnatic,G2 Esports,G2 Esports,1905,-10000,526
