role,tier,champion,opponent,winrate
mid,master_plus,Ahri,Akali,51.61
mid,master_plus,Ahri,Akshan,41.18
mid,master_plus,Ahri,Aurora,43.48
mid,master_plus,Ahri,Diana,56.25
mid,master_plus,Ahri,Galio,65.91
mid,master_plus,Ahri,Hwei,50.0
mid,master_plus,Ahri,Kassadin,54.55
mid,master_plus,Ahri,Katarina,45.71
mid,master_plus,Ahri,LeBlanc,46.67
mid,master_plus,Ahri,Lux,41.67
mid,master_plus,Ahri,Mel,52.54
mid,master_plus,Ahri,Morgana,35.14
mid,master_plus,Ahri,Orianna,46.32
mid,master_plus,Ahri,Others,50.0
mid,master_plus,Ahri,Qiyana,40.63
mid,master_plus,Ahri,Ryze,41.51
mid,master_plus,Ahri,Sylas,42.06
mid,master_plus,Ahri,Syndra,50.59
mid,master_plus,Ahri,Taliyah,55.38
mid,master_plus,Ahri,Twisted Fate,51.92
mid,master_plus,Ahri,Veigar,46.88
mid,master_plus,Ahri,Vladimir,45.71
mid,master_plus,Ahri,Xerath,43.33
mid,master_plus,Ahri,Yasuo,60.32
mid,master_plus,Ahri,Yone,58.18
mid,master_plus,Ahri,Zed,50.0
mid,master_plus,Ahri,Zoe,40.79
mid,master_plus,Akali,Ahri,48.39
mid,master_plus,Akali,Aurora,45.45
mid,master_plus,Akali,Azir,50.0
mid,master_plus,Akali,Ekko,48.39
mid,master_plus,Akali,Galio,41.67
mid,master_plus,Akali,Hwei,51.47
mid,master_plus,Akali,Irelia,36.67
mid,master_plus,Akali,Kassadin,41.94
mid,master_plus,Akali,Katarina,42.35
mid,master_plus,Akali,Kayle,45.45
mid,master_plus,Akali,LeBlanc,56.9
mid,master_plus,Akali,Lissandra,61.9
mid,master_plus,Akali,Malzahar,52.94
mid,master_plus,Akali,Mel,46.0
mid,master_plus,Akali,Morgana,56.76
mid,master_plus,Akali,Orianna,54.79
mid,master_plus,Akali,Others,50.0
mid,master_plus,Akali,Qiyana,37.14
mid,master_plus,Akali,Ryze,52.94
mid,master_plus,Akali,Sylas,60.0
mid,master_plus,Akali,Syndra,46.24
mid,master_plus,Akali,Taliyah,45.45
mid,master_plus,Akali,Talon,51.43
mid,master_plus,Akali,Twisted Fate,40.63
mid,master_plus,Akali,Viktor,56.0
mid,master_plus,Akali,Vladimir,70.27
mid,master_plus,Akali,Yasuo,50.55
mid,master_plus,Akali,Yone,65.75
mid,master_plus,Akali,Zed,51.43
mid,master_plus,Akali,Zoe,47.69
mid,master_plus,Akshan,Ahri,58.82
mid,master_plus,Akshan,Aurora,53.33
mid,master_plus,Akshan,Katarina,52.94
mid,master_plus,Akshan,LeBlanc,64.52
mid,master_plus,Akshan,Orianna,50.59
mid,master_plus,Akshan,Others,50.0
mid,master_plus,Akshan,Ryze,51.61
mid,master_plus,Akshan,Syndra,55.26
mid,master_plus,Akshan,Taliyah,45.71
mid,master_plus,Akshan,Viktor,48.39
mid,master_plus,Akshan,Zoe,53.33
mid,master_plus,Anivia,Aurora,48.39
mid,master_plus,Anivia,Hwei,56.76
mid,master_plus,Anivia,Katarina,37.5
mid,master_plus,Anivia,LeBlanc,60.0
mid,master_plus,Anivia,Orianna,47.37
mid,master_plus,Anivia,Others,50.0
mid,master_plus,Anivia,Ryze,42.42
mid,master_plus,Anivia,Sylas,43.75
mid,master_plus,Anivia,Syndra,37.14
mid,master_plus,Annie,Katarina,54.84
mid,master_plus,Annie,Others,50.0
mid,master_plus,Aurelion Sol,Orianna,54.29
mid,master_plus,Aurelion Sol,Others,50.0
mid,master_plus,Aurora,Ahri,56.52
mid,master_plus,Aurora,Akali,54.55
mid,master_plus,Aurora,Akshan,46.67
mid,master_plus,Aurora,Anivia,51.61
mid,master_plus,Aurora,Galio,46.15
mid,master_plus,Aurora,Hwei,54.35
mid,master_plus,Aurora,Katarina,40.48
mid,master_plus,Aurora,LeBlanc,47.69
mid,master_plus,Aurora,Mel,61.76
mid,master_plus,Aurora,Orianna,45.93
mid,master_plus,Aurora,Others,50.0
mid,master_plus,Aurora,Ryze,46.03
mid,master_plus,Aurora,Sylas,43.28
mid,master_plus,Aurora,Syndra,42.31
mid,master_plus,Aurora,Taliyah,42.19
mid,master_plus,Aurora,Viktor,47.62
mid,master_plus,Aurora,Yasuo,36.0
mid,master_plus,Aurora,Yone,52.94
mid,master_plus,Aurora,Zed,53.7
mid,master_plus,Aurora,Zoe,48.98
mid,master_plus,Azir,Akali,50.0
mid,master_plus,Azir,Hwei,60.0
mid,master_plus,Azir,LeBlanc,25.81
mid,master_plus,Azir,Orianna,47.62
mid,master_plus,Azir,Others,50.0
mid,master_plus,Azir,Ryze,45.16
mid,master_plus,Azir,Sylas,43.33
mid,master_plus,Azir,Syndra,41.18
mid,master_plus,Azir,Taliyah,47.22
mid,master_plus,Azir,Yasuo,44.74
mid,master_plus,Cassiopeia,Others,50.0
mid,master_plus,Cassiopeia,Ryze,58.06
mid,master_plus,Cassiopeia,Sylas,67.44
mid,master_plus,Cassiopeia,Syndra,58.06
mid,master_plus,Cho'Gath,Others,50.0
mid,master_plus,Corki,Orianna,38.24
mid,master_plus,Corki,Others,50.0
mid,master_plus,Diana,Ahri,42.42
mid,master_plus,Diana,Galio,41.18
mid,master_plus,Diana,Katarina,45.0
mid,master_plus,Diana,LeBlanc,46.67
mid,master_plus,Diana,Orianna,52.31
mid,master_plus,Diana,Others,50.0
mid,master_plus,Diana,Qiyana,53.33
mid,master_plus,Diana,Sylas,52.27
mid,master_plus,Diana,Syndra,55.26
mid,master_plus,Diana,Zed,45.16
mid,master_plus,Ekko,Akali,51.61
mid,master_plus,Ekko,Galio,41.94
mid,master_plus,Ekko,Katarina,50.0
mid,master_plus,Ekko,Orianna,56.94
mid,master_plus,Ekko,Others,50.0
mid,master_plus,Ekko,Ryze,62.5
mid,master_plus,Ekko,Sylas,49.18
mid,master_plus,Ekko,Syndra,46.0
mid,master_plus,Ekko,Zoe,60.0
mid,master_plus,Fizz,Galio,43.14
mid,master_plus,Fizz,Katarina,54.29
mid,master_plus,Fizz,LeBlanc,41.67
mid,master_plus,Fizz,Mel,61.29
mid,master_plus,Fizz,Orianna,53.85
mid,master_plus,Fizz,Others,50.0
mid,master_plus,Fizz,Ryze,54.55
mid,master_plus,Fizz,Sylas,52.63
mid,master_plus,Fizz,Syndra,67.27
mid,master_plus,Fizz,Zoe,53.33
mid,master_plus,Galio,Ahri,34.09
mid,master_plus,Galio,Akali,58.33
mid,master_plus,Galio,Aurora,53.85
mid,master_plus,Galio,Diana,58.0
mid,master_plus,Galio,Ekko,58.06
mid,master_plus,Galio,Fizz,56.86
mid,master_plus,Galio,Hwei,56.0
mid,master_plus,Galio,Katarina,50.67
mid,master_plus,Galio,LeBlanc,40.85
mid,master_plus,Galio,Orianna,52.98
mid,master_plus,Galio,Others,50.0
mid,master_plus,Galio,Ryze,60.53
mid,master_plus,Galio,Sylas,41.38
mid,master_plus,Galio,Syndra,49.23
mid,master_plus,Galio,Taliyah,40.43
mid,master_plus,Galio,Twisted Fate,50.0
mid,master_plus,Galio,Viktor,58.33
mid,master_plus,Galio,Xerath,43.33
mid,master_plus,Galio,Yasuo,34.04
mid,master_plus,Galio,Yone,50.0
mid,master_plus,Galio,Zed,48.48
mid,master_plus,Galio,Zoe,45.24
mid,master_plus,Hwei,Ahri,50.0
mid,master_plus,Hwei,Akali,48.53
mid,master_plus,Hwei,Anivia,44.12
mid,master_plus,Hwei,Aurora,45.65
mid,master_plus,Hwei,Azir,40.0
mid,master_plus,Hwei,Galio,44.0
mid,master_plus,Hwei,Katarina,53.66
mid,master_plus,Hwei,LeBlanc,40.0
mid,master_plus,Hwei,Mel,54.9
mid,master_plus,Hwei,Morgana,41.67
mid,master_plus,Hwei,Orianna,55.56
mid,master_plus,Hwei,Others,50.0
mid,master_plus,Hwei,Ryze,50.0
mid,master_plus,Hwei,Sylas,60.34
mid,master_plus,Hwei,Syndra,43.3
mid,master_plus,Hwei,Taliyah,55.36
mid,master_plus,Hwei,Twisted Fate,58.33
mid,master_plus,Hwei,Viktor,56.45
mid,master_plus,Hwei,Vladimir,55.56
mid,master_plus,Hwei,Xerath,44.68
mid,master_plus,Hwei,Yasuo,44.64
mid,master_plus,Hwei,Yone,38.1
mid,master_plus,Hwei,Zed,59.09
mid,master_plus,Hwei,Zoe,44.68
mid,master_plus,Irelia,Akali,63.33
mid,master_plus,Irelia,Katarina,48.39
mid,master_plus,Irelia,Orianna,41.38
mid,master_plus,Irelia,Others,50.0
mid,master_plus,Irelia,Syndra,46.67
mid,master_plus,Jayce,Orianna,50.0
mid,master_plus,Jayce,Others,50.0
mid,master_plus,Jayce,Ryze,42.42
mid,master_plus,Kassadin,Ahri,45.45
mid,master_plus,Kassadin,Akali,58.06
mid,master_plus,Kassadin,Katarina,64.41
mid,master_plus,Kassadin,LeBlanc,58.93
mid,master_plus,Kassadin,Orianna,50.79
mid,master_plus,Kassadin,Others,50.0
mid,master_plus,Kassadin,Ryze,54.55
mid,master_plus,Kassadin,Sylas,45.0
mid,master_plus,Kassadin,Syndra,55.93
mid,master_plus,Kassadin,Yasuo,54.0
mid,master_plus,Kassadin,Yone,48.89
mid,master_plus,Kassadin,Zoe,50.0
mid,master_plus,Katarina,Ahri,54.29
mid,master_plus,Katarina,Akali,57.65
mid,master_plus,Katarina,Akshan,47.06
mid,master_plus,Katarina,Anivia,62.5
mid,master_plus,Katarina,Annie,45.16
mid,master_plus,Katarina,Aurora,59.52
mid,master_plus,Katarina,Diana,55.0
mid,master_plus,Katarina,Ekko,50.0
mid,master_plus,Katarina,Fizz,45.71
mid,master_plus,Katarina,Galio,49.33
mid,master_plus,Katarina,Hwei,46.34
mid,master_plus,Katarina,Irelia,53.33
mid,master_plus,Katarina,Kassadin,35.59
mid,master_plus,Katarina,Kayle,42.42
mid,master_plus,Katarina,LeBlanc,47.56
mid,master_plus,Katarina,Lissandra,38.64
mid,master_plus,Katarina,Malzahar,60.53
mid,master_plus,Katarina,Mel,52.94
mid,master_plus,Katarina,Orianna,45.3
mid,master_plus,Katarina,Others,50.0
mid,master_plus,Katarina,Qiyana,45.45
mid,master_plus,Katarina,Ryze,40.0
mid,master_plus,Katarina,Sylas,51.72
mid,master_plus,Katarina,Syndra,52.05
mid,master_plus,Katarina,Taliyah,55.56
mid,master_plus,Katarina,Talon,60.0
mid,master_plus,Katarina,Twisted Fate,48.08
mid,master_plus,Katarina,Vex,50.0
mid,master_plus,Katarina,Viktor,46.34
mid,master_plus,Katarina,Vladimir,50.98
mid,master_plus,Katarina,Xerath,64.86
mid,master_plus,Katarina,Yasuo,50.0
mid,master_plus,Katarina,Yone,58.06
mid,master_plus,Katarina,Zed,48.44
mid,master_plus,Katarina,Zoe,55.0
mid,master_plus,Kayle,Akali,54.55
mid,master_plus,Kayle,Katarina,57.58
mid,master_plus,Kayle,Others,50.0
mid,master_plus,Kayle,Ryze,44.12
mid,master_plus,Kayle,Syndra,46.94
mid,master_plus,LeBlanc,Ahri,53.33
mid,master_plus,LeBlanc,Akali,43.1
mid,master_plus,LeBlanc,Akshan,35.48
mid,master_plus,LeBlanc,Aurora,52.31
mid,master_plus,LeBlanc,Azir,74.19
mid,master_plus,LeBlanc,Diana,52.27
mid,master_plus,LeBlanc,Fizz,57.14
mid,master_plus,LeBlanc,Galio,59.15
mid,master_plus,LeBlanc,Hwei,60.0
mid,master_plus,LeBlanc,Kassadin,41.07
mid,master_plus,LeBlanc,Katarina,52.44
mid,master_plus,LeBlanc,Lissandra,58.82
mid,master_plus,LeBlanc,Malzahar,39.66
mid,master_plus,LeBlanc,Mel,44.19
mid,master_plus,LeBlanc,Morgana,30.95
mid,master_plus,LeBlanc,Orianna,55.12
mid,master_plus,LeBlanc,Others,50.0
mid,master_plus,LeBlanc,Ryze,43.64
mid,master_plus,LeBlanc,Sylas,55.36
mid,master_plus,LeBlanc,Syndra,47.47
mid,master_plus,LeBlanc,Taliyah,48.0
mid,master_plus,LeBlanc,Twisted Fate,54.55
mid,master_plus,LeBlanc,Vex,40.0
mid,master_plus,LeBlanc,Viktor,48.0
mid,master_plus,LeBlanc,Vladimir,52.08
mid,master_plus,LeBlanc,Yasuo,48.08
mid,master_plus,LeBlanc,Yone,52.5
mid,master_plus,LeBlanc,Zed,40.0
mid,master_plus,LeBlanc,Zoe,50.0
mid,master_plus,Lissandra,Akali,39.53
mid,master_plus,Lissandra,Katarina,61.36
mid,master_plus,Lissandra,LeBlanc,40.38
mid,master_plus,Lissandra,Others,50.0
mid,master_plus,Lissandra,Sylas,38.89
mid,master_plus,Lissandra,Yasuo,40.82
mid,master_plus,Lissandra,Zed,53.13
mid,master_plus,Lux,Ahri,58.33
mid,master_plus,Lux,Orianna,64.44
mid,master_plus,Lux,Others,50.0
mid,master_plus,Lux,Syndra,54.55
mid,master_plus,Lux,Yasuo,60.0
mid,master_plus,Lux,Zoe,36.67
mid,master_plus,Malphite,Others,50.0
mid,master_plus,Malzahar,Akali,48.57
mid,master_plus,Malzahar,Katarina,40.0
mid,master_plus,Malzahar,LeBlanc,60.34
mid,master_plus,Malzahar,Orianna,48.15
mid,master_plus,Malzahar,Others,50.0
mid,master_plus,Malzahar,Smolder,47.73
mid,master_plus,Malzahar,Viktor,41.94
mid,master_plus,Malzahar,Vladimir,45.71
mid,master_plus,Malzahar,Yasuo,48.48
mid,master_plus,Malzahar,Zed,45.71
mid,master_plus,Malzahar,Zoe,53.19
mid,master_plus,Mel,Ahri,48.33
