role,tier,champion,opponent,winrate
top,master_plus,Aatrox,Akali,63.64
top,master_plus,Aatrox,Ambessa,45.16
top,master_plus,Aatrox,Camille,43.94
top,master_plus,Aatrox,Cho'Gath,42.42
top,master_plus,Aatrox,Darius,50.54
top,master_plus,Aatrox,Dr. Mundo,56.36
top,master_plus,Aatrox,Fiora,43.68
top,master_plus,Aatrox,Gangplank,44.59
top,master_plus,Aatrox,Garen,33.93
top,master_plus,Aatrox,Gnar,41.18
top,master_plus,Aatrox,Gragas,52.73
top,master_plus,Aatrox,Gwen,42.5
top,master_plus,Aatrox,Irelia,54.72
top,master_plus,Aatrox,Jax,51.72
top,master_plus,Aatrox,Jayce,48.36
top,master_plus,Aatrox,K'Sante,54.62
top,master_plus,Aatrox,Kennen,55.88
top,master_plus,Aatrox,Kled,48.89
top,master_plus,Aatrox,Malphite,46.67
top,master_plus,Aatrox,Mordekaiser,53.52
top,master_plus,Aatrox,Olaf,56.67
top,master_plus,Aatrox,Ornn,56.36
top,master_plus,Aatrox,Others,50.0
top,master_plus,Aatrox,Pantheon,47.62
top,master_plus,Aatrox,Rek'Sai,44.9
top,master_plus,Aatrox,Renekton,50.74
top,master_plus,Aatrox,Riven,46.97
top,master_plus,Aatrox,Rumble,44.9
top,master_plus,Aatrox,Sett,43.18
top,master_plus,Aatrox,Shen,48.61
top,master_plus,Aatrox,Singed,53.49
top,master_plus,Aatrox,Sion,47.17
top,master_plus,Aatrox,Tryndamere,59.38
top,master_plus,Aatrox,Urgot,38.71
top,master_plus,Aatrox,Vladimir,51.85
top,master_plus,Aatrox,Volibear,41.18
top,master_plus,Aatrox,Yasuo,50.0
top,master_plus,Aatrox,Yone,50.55
top,master_plus,Akali,Aatrox,38.71
top,master_plus,Akali,Others,50.0
top,master_plus,Ambessa,Aatrox,55.19
top,master_plus,Ambessa,Camille,40.48
top,master_plus,Ambessa,Darius,47.31
top,master_plus,Ambessa,Dr. Mundo,52.17
top,master_plus,Ambessa,Fiora,45.88
top,master_plus,Ambessa,Gangplank,48.78
top,master_plus,Ambessa,Garen,48.1
top,master_plus,Ambessa,Gnar,46.03
top,master_plus,Ambessa,Gragas,41.67
top,master_plus,Ambessa,Gwen,45.45
top,master_plus,Ambessa,Irelia,47.71
top,master_plus,Ambessa,Jax,51.3
top,master_plus,Ambessa,Jayce,42.48
top,master_plus,Ambessa,K'Sante,52.31
top,master_plus,Ambessa,Kayle,46.34
top,master_plus,Ambessa,Kled,51.06
top,master_plus,Ambessa,Malphite,49.15
top,master_plus,Ambessa,Mordekaiser,50.7
top,master_plus,Ambessa,Olaf,50.0
top,master_plus,Ambessa,Ornn,52.73
top,master_plus,Ambessa,Others,50.0
top,master_plus,Ambessa,Pantheon,40.0
top,master_plus,Ambessa,Poppy,48.57
top,master_plus,Ambessa,Rek'Sai,55.56
top,master_plus,Ambessa,Renekton,52.81
top,master_plus,Ambessa,Riven,40.26
top,master_plus,Ambessa,Rumble,34.78
top,master_plus,Ambessa,Sett,41.94
top,master_plus,Ambessa,Shen,57.14
top,master_plus,Ambessa,Singed,38.33
top,master_plus,Ambessa,Sion,52.07
top,master_plus,Ambessa,Tryndamere,29.03
top,master_plus,Ambessa,Urgot,50.0
top,master_plus,Ambessa,Vladimir,60.0
top,master_plus,Ambessa,Warwick,50.0
top,master_plus,Ambessa,Yasuo,48.48
top,master_plus,Ambessa,Yone,63.49
top,master_plus,Ambessa,Yorick,50.0
top,master_plus,Aurora,Jax,50.0
top,master_plus,Aurora,Others,50.0
top,master_plus,Camille,Aatrox,54.69
top,master_plus,Camille,Ambessa,57.94
top,master_plus,Camille,Darius,51.06
top,master_plus,Camille,Fiora,45.0
top,master_plus,Camille,Garen,50.91
top,master_plus,Camille,Gwen,51.61
top,master_plus,Camille,Irelia,47.62
top,master_plus,Camille,Jax,63.64
top,master_plus,Camille,Jayce,51.43
top,master_plus,Camille,K'Sante,52.54
top,master_plus,Camille,Ornn,68.75
top,master_plus,Camille,Others,50.0
top,master_plus,Camille,Renekton,55.38
top,master_plus,Camille,Riven,53.33
top,master_plus,Camille,Sion,56.52
top,master_plus,Cassiopeia,Others,50.0
top,master_plus,Cho'Gath,Aatrox,59.38
top,master_plus,Cho'Gath,Others,50.0
top,master_plus,Cho'Gath,Riven,45.71
top,master_plus,Cho'Gath,Sion,52.54
top,master_plus,Cho'Gath,Yorick,46.67
top,master_plus,Darius,Aatrox,52.58
top,master_plus,Darius,Ambessa,53.85
top,master_plus,Darius,Camille,47.73
top,master_plus,Darius,Dr. Mundo,59.46
top,master_plus,Darius,Fiora,57.14
top,master_plus,Darius,Gangplank,54.55
top,master_plus,Darius,Garen,63.33
top,master_plus,Darius,Gragas,64.71
top,master_plus,Darius,Gwen,70.97
top,master_plus,Darius,Irelia,68.75
top,master_plus,Darius,Jax,37.68
top,master_plus,Darius,Jayce,41.67
top,master_plus,Darius,K'Sante,51.9
top,master_plus,Darius,Malphite,55.88
top,master_plus,Darius,Mordekaiser,52.78
top,master_plus,Darius,Ornn,50.0
top,master_plus,Darius,Others,50.0
top,master_plus,Darius,Renekton,50.0
top,master_plus,Darius,Riven,56.6
top,master_plus,Darius,Sett,54.55
top,master_plus,Darius,Shen,54.9
top,master_plus,Darius,Singed,53.33
top,master_plus,Darius,Sion,62.69
top,master_plus,Darius,Vladimir,40.0
top,master_plus,Dr. Mundo,Aatrox,42.59
top,master_plus,Dr. Mundo,Ambessa,51.16
top,master_plus,Dr. Mundo,Darius,39.02
top,master_plus,Dr. Mundo,Fiora,41.94
top,master_plus,Dr. Mundo,Gwen,41.18
top,master_plus,Dr. Mundo,Jax,42.5
top,master_plus,Dr. Mundo,Malphite,51.61
top,master_plus,Dr. Mundo,Ornn,51.43
top,master_plus,Dr. Mundo,Others,50.0
top,master_plus,Dr. Mundo,Renekton,65.63
top,master_plus,Dr. Mundo,Sion,57.14
top,master_plus,Dr. Mundo,Yone,48.48
top,master_plus,Fiora,Aatrox,52.87
top,master_plus,Fiora,Ambessa,54.65
top,master_plus,Fiora,Camille,48.84
top,master_plus,Fiora,Darius,41.82
top,master_plus,Fiora,Dr. Mundo,57.58
top,master_plus,Fiora,Gangplank,50.0
top,master_plus,Fiora,Garen,59.52
top,master_plus,Fiora,Gragas,47.06
top,master_plus,Fiora,Gwen,58.97
top,master_plus,Fiora,Irelia,58.82
top,master_plus,Fiora,Jax,59.46
top,master_plus,Fiora,Jayce,61.29
top,master_plus,Fiora,K'Sante,71.43
top,master_plus,Fiora,Malphite,44.9
top,master_plus,Fiora,Mordekaiser,57.14
top,master_plus,Fiora,Ornn,51.35
top,master_plus,Fiora,Others,50.0
top,master_plus,Fiora,Renekton,44.58
top,master_plus,Fiora,Riven,45.9
top,master_plus,Fiora,Shen,44.44
top,master_plus,Fiora,Sion,51.35
top,master_plus,Fiora,Tryndamere,43.33
top,master_plus,Fiora,Vladimir,31.25
top,master_plus,Fiora,Yasuo,50.0
top,master_plus,Fiora,Yone,50.0
top,master_plus,Gangplank,Aatrox,57.33
top,master_plus,Gangplank,Ambessa,51.9
top,master_plus,Gangplank,Darius,46.88
top,master_plus,Gangplank,Fiora,52.63
top,master_plus,Gangplank,Gwen,64.1
top,master_plus,Gangplank,Irelia,32.61
top,master_plus,Gangplank,Jax,42.86
top,master_plus,Gangplank,Jayce,51.28
top,master_plus,Gangplank,K'Sante,54.72
top,master_plus,Gangplank,Others,50.0
top,master_plus,Gangplank,Renekton,72.73
top,master_plus,Gangplank,Riven,59.38
top,master_plus,Gangplank,Shen,45.16
top,master_plus,Gangplank,Sion,54.84
top,master_plus,Garen,Aatrox,63.16
top,master_plus,Garen,Ambessa,52.56
top,master_plus,Garen,Camille,46.94
top,master_plus,Garen,Darius,38.33
top,master_plus,Garen,Fiora,38.89
top,master_plus,Garen,Gnar,46.51
top,master_plus,Garen,Gwen,47.37
top,master_plus,Garen,Irelia,53.13
top,master_plus,Garen,Jax,58.14
top,master_plus,Garen,K'Sante,50.77
top,master_plus,Garen,Kayle,51.35
top,master_plus,Garen,Malphite,57.89
top,master_plus,Garen,Mordekaiser,47.73
top,master_plus,Garen,Ornn,45.16
top,master_plus,Garen,Others,50.0
top,master_plus,Garen,Renekton,47.73
top,master_plus,Garen,Riven,48.98
top,master_plus,Garen,Shen,56.76
top,master_plus,Garen,Sion,45.61
top,master_plus,Garen,Yasuo,54.29
top,master_plus,Gnar,Aatrox,58.82
top,master_plus,Gnar,Ambessa,53.23
top,master_plus,Gnar,Darius,46.67
top,master_plus,Gnar,Garen,53.66
top,master_plus,Gnar,Irelia,53.85
top,master_plus,Gnar,Jax,61.54
top,master_plus,Gnar,K'Sante,51.52
top,master_plus,Gnar,Malphite,48.65
top,master_plus,Gnar,Others,50.0
top,master_plus,Gnar,Renekton,51.28
top,master_plus,Gnar,Shen,58.82
top,master_plus,Gnar,Sion,44.19
top,master_plus,Gragas,Aatrox,47.27
top,master_plus,Gragas,Ambessa,58.62
top,master_plus,Gragas,Darius,35.29
top,master_plus,Gragas,Fiora,50.0
top,master_plus,Gragas,Jax,48.0
