role,tier,champion,opponent,winrate
jungle,master_plus,Amumu,Others,50.0
jungle,master_plus,Bel'Veth,Ekko,58.06
jungle,master_plus,Bel'Veth,Graves,50.65
jungle,master_plus,Bel'Veth,Jarvan IV,43.48
jungle,master_plus,Bel'Veth,Kha'Zix,43.24
jungle,master_plus,Bel'Veth,Lee Sin,50.94
jungle,master_plus,Bel'Veth,Others,50.0
jungle,master_plus,Bel'Veth,Qiyana,53.85
jungle,master_plus,Bel'Veth,Rengar,55.26
jungle,master_plus,Bel'Veth,Sylas,59.09
jungle,master_plus,Bel'Veth,Talon,40.0
jungle,master_plus,Bel'Veth,Viego,52.27
jungle,master_plus,Brand,Others,50.0
jungle,master_plus,Briar,Graves,34.0
jungle,master_plus,Briar,Lee Sin,44.19
jungle,master_plus,Briar,Others,50.0
jungle,master_plus,Briar,Viego,50.0
jungle,master_plus,Diana,Ekko,58.14
jungle,master_plus,Diana,Elise,50.0
jungle,master_plus,Diana,Graves,54.4
jungle,master_plus,Diana,Gwen,51.43
jungle,master_plus,Diana,Hecarim,48.78
jungle,master_plus,Diana,Jarvan IV,52.81
jungle,master_plus,Diana,Jax,41.67
jungle,master_plus,Diana,Kayn,50.0
jungle,master_plus,Diana,Kha'Zix,40.3
jungle,master_plus,Diana,Kindred,45.45
jungle,master_plus,Diana,Lee Sin,52.1
jungle,master_plus,Diana,Nidalee,52.83
jungle,master_plus,Diana,Others,50.0
jungle,master_plus,Diana,Qiyana,57.53
jungle,master_plus,Diana,Rengar,41.51
jungle,master_plus,Diana,Sylas,50.93
jungle,master_plus,Diana,Talon,42.86
jungle,master_plus,Diana,Viego,41.51
jungle,master_plus,Diana,Wukong,55.88
jungle,master_plus,Diana,Xin Zhao,43.75
jungle,master_plus,Diana,Zed,56.94
jungle,master_plus,Dr. Mundo,Others,50.0
jungle,master_plus,Ekko,Bel'Veth,41.94
jungle,master_plus,Ekko,Diana,41.86
jungle,master_plus,Ekko,Elise,55.56
jungle,master_plus,Ekko,Graves,57.26
jungle,master_plus,Ekko,Hecarim,48.21
jungle,master_plus,Ekko,Jarvan IV,51.95
jungle,master_plus,Ekko,Kayn,51.06
jungle,master_plus,Ekko,Kha'Zix,62.12
jungle,master_plus,Ekko,Lee Sin,55.56
jungle,master_plus,Ekko,Nidalee,52.78
jungle,master_plus,Ekko,Others,50.0
jungle,master_plus,Ekko,Qiyana,59.04
jungle,master_plus,Ekko,Rengar,50.91
jungle,master_plus,Ekko,Shaco,48.72
jungle,master_plus,Ekko,Sylas,49.35
jungle,master_plus,Ekko,Talon,38.6
jungle,master_plus,Ekko,Viego,46.23
jungle,master_plus,Ekko,Wukong,36.36
jungle,master_plus,Ekko,Xin Zhao,67.24
jungle,master_plus,Ekko,Zed,54.0
jungle,master_plus,Elise,Diana,50.0
jungle,master_plus,Elise,Ekko,44.44
jungle,master_plus,Elise,Graves,40.0
jungle,master_plus,Elise,Jarvan IV,50.91
jungle,master_plus,Elise,Kha'Zix,47.5
jungle,master_plus,Elise,Lee Sin,61.73
jungle,master_plus,Elise,Others,50.0
jungle,master_plus,Elise,Qiyana,45.83
jungle,master_plus,Elise,Rengar,60.0
jungle,master_plus,Elise,Sylas,55.56
jungle,master_plus,Elise,Talon,53.13
jungle,master_plus,Elise,Viego,62.86
jungle,master_plus,Evelynn,Graves,54.0
jungle,master_plus,Evelynn,Kha'Zix,55.56
jungle,master_plus,Evelynn,Lee Sin,51.28
jungle,master_plus,Evelynn,Others,50.0
jungle,master_plus,Evelynn,Qiyana,51.52
jungle,master_plus,Evelynn,Sylas,46.81
jungle,master_plus,Evelynn,Viego,50.0
jungle,master_plus,Fiddlesticks,Graves,44.68
jungle,master_plus,Fiddlesticks,Jarvan IV,58.82
jungle,master_plus,Fiddlesticks,Lee Sin,44.12
jungle,master_plus,Fiddlesticks,Others,50.0
jungle,master_plus,Fiddlesticks,Viego,48.57
jungle,master_plus,Gragas,Others,50.0
