role,tier,champion,opponent,winrate
support,master_plus,Alistar,Bard,52.1
support,master_plus,Alistar,Blitzcrank,48.89
support,master_plus,Alistar,Braum,54.6
support,master_plus,Alistar,Elise,51.22
support,master_plus,Alistar,Janna,37.65
support,master_plus,Alistar,Karma,50.0
support,master_plus,Alistar,Leona,52.59
support,master_plus,Alistar,Lulu,41.13
support,master_plus,Alistar,Milio,48.81
support,master_plus,Alistar,Morgana,37.21
support,master_plus,Alistar,Nami,49.58
support,master_plus,Alistar,Nautilus,55.61
support,master_plus,Alistar,Neeko,50.67
support,master_plus,Alistar,Others,50.0
support,master_plus,Alistar,Poppy,47.14
support,master_plus,Alistar,Pyke,49.58
support,master_plus,Alistar,Rakan,47.18
support,master_plus,Alistar,Rell,48.54
support,master_plus,Alistar,Senna,44.74
support,master_plus,Alistar,Seraphine,37.21
support,master_plus,Alistar,Sona,41.86
support,master_plus,Alistar,Soraka,35.29
support,master_plus,Alistar,Taric,38.89
support,master_plus,Alistar,Thresh,54.49
support,master_plus,Alistar,Yuumi,58.97
support,master_plus,Alistar,Zilean,43.75
support,master_plus,Amumu,Others,50.0
support,master_plus,Bard,Alistar,47.9
support,master_plus,Bard,Blitzcrank,56.52
support,master_plus,Bard,Brand,43.33
support,master_plus,Bard,Braum,46.32
support,master_plus,Bard,Elise,43.48
support,master_plus,Bard,Janna,50.0
support,master_plus,Bard,Karma,54.79
support,master_plus,Bard,Leona,48.36
support,master_plus,Bard,Lulu,46.38
support,master_plus,Bard,Lux,46.15
support,master_plus,Bard,Milio,56.95
support,master_plus,Bard,Morgana,46.15
support,master_plus,Bard,Nami,50.54
support,master_plus,Bard,Nautilus,50.0
support,master_plus,Bard,Neeko,50.74
support,master_plus,Bard,Others,50.0
support,master_plus,Bard,Pantheon,48.65
support,master_plus,Bard,Poppy,36.36
support,master_plus,Bard,Pyke,44.0
support,master_plus,Bard,Rakan,55.74
support,master_plus,Bard,Rell,50.79
support,master_plus,Bard,Senna,46.46
support,master_plus,Bard,Seraphine,40.54
support,master_plus,Bard,Sona,49.52
support,master_plus,Bard,Soraka,50.0
support,master_plus,Bard,Taric,51.28
support,master_plus,Bard,Thresh,54.08
support,master_plus,Bard,Vel'Koz,61.11
support,master_plus,Bard,Yuumi,61.67
support,master_plus,Bard,Zilean,48.48
support,master_plus,Bard,Zoe,51.61
support,master_plus,Bard,Zyra,47.5
support,master_plus,Blitzcrank,Alistar,51.11
support,master_plus,Blitzcrank,Bard,43.48
support,master_plus,Blitzcrank,Braum,43.12
support,master_plus,Blitzcrank,Janna,56.86
support,master_plus,Blitzcrank,Karma,52.76
support,master_plus,Blitzcrank,Leona,53.62
support,master_plus,Blitzcrank,Lulu,45.19
support,master_plus,Blitzcrank,Lux,41.94
support,master_plus,Blitzcrank,Milio,56.38
support,master_plus,Blitzcrank,Morgana,47.62
support,master_plus,Blitzcrank,Nami,52.88
support,master_plus,Blitzcrank,Nautilus,44.66
support,master_plus,Blitzcrank,Neeko,46.88
support,master_plus,Blitzcrank,Others,50.0
support,master_plus,Blitzcrank,Pyke,42.11
support,master_plus,Blitzcrank,Rakan,45.24
support,master_plus,Blitzcrank,Rell,48.72
support,master_plus,Blitzcrank,Senna,53.33
support,master_plus,Blitzcrank,Seraphine,53.33
support,master_plus,Blitzcrank,Sona,48.78
support,master_plus,Blitzcrank,Soraka,60.38
support,master_plus,Blitzcrank,Thresh,47.27
support,master_plus,Blitzcrank,Zilean,32.26
support,master_plus,Brand,Bard,56.67
support,master_plus,Brand,Others,50.0
support,master_plus,Braum,Alistar,45.12
support,master_plus,Braum,Bard,53.06
support,master_plus,Braum,Blitzcrank,56.36
support,master_plus,Braum,Elise,51.35
support,master_plus,Braum,Janna,48.78
support,master_plus,Braum,Karma,46.22
support,master_plus,Braum,Leona,46.15
support,master_plus,Braum,Lulu,53.66
support,master_plus,Braum,Milio,51.95
support,master_plus,Braum,Morgana,53.33
support,master_plus,Braum,Nami,42.52
support,master_plus,Braum,Nautilus,52.34
support,master_plus,Braum,Neeko,49.12
support,master_plus,Braum,Others,50.0
support,master_plus,Braum,Pantheon,60.0
support,master_plus,Braum,Poppy,50.0
support,master_plus,Braum,Pyke,47.92
support,master_plus,Braum,Rakan,45.52
support,master_plus,Braum,Rell,41.67
support,master_plus,Braum,Senna,42.42
support,master_plus,Braum,Seraphine,27.03
support,master_plus,Braum,Sona,48.48
support,master_plus,Braum,Soraka,53.66
support,master_plus,Braum,Thresh,54.36
support,master_plus,Elise,Alistar,50.0
support,master_plus,Elise,Bard,56.34
support,master_plus,Elise,Braum,48.65
support,master_plus,Elise,Karma,52.11
support,master_plus,Elise,Leona,51.61
support,master_plus,Elise,Lulu,56.14
support,master_plus,Elise,Milio,38.24
support,master_plus,Elise,Nami,61.22
support,master_plus,Elise,Nautilus,34.69
support,master_plus,Elise,Others,50.0
support,master_plus,Elise,Pyke,57.41
support,master_plus,Elise,Rakan,41.67
support,master_plus,Elise,Rell,53.49
support,master_plus,Elise,Thresh,46.0
support,master_plus,Fiddlesticks,Others,50.0
support,master_plus,Hwei,Others,50.0
support,master_plus,Janna,Alistar,62.35
support,master_plus,Janna,Bard,50.0
support,master_plus,Janna,Blitzcrank,43.14
support,master_plus,Janna,Braum,52.5
support,master_plus,Janna,Karma,64.34
support,master_plus,Janna,Leona,50.0
support,master_plus,Janna,Lulu,57.26
support,master_plus,Janna,Milio,53.93
support,master_plus,Janna,Nami,48.65
support,master_plus,Janna,Nautilus,50.75
support,master_plus,Janna,Neeko,70.0
support,master_plus,Janna,Others,50.0
support,master_plus,Janna,Pyke,57.14
support,master_plus,Janna,Rakan,42.86
support,master_plus,Janna,Rell,57.14
support,master_plus,Janna,Senna,54.0
support,master_plus,Janna,Seraphine,51.61
support,master_plus,Janna,Sona,53.03
support,master_plus,Janna,Soraka,63.04
support,master_plus,Janna,Thresh,54.7
support,master_plus,Janna,Yuumi,38.71
support,master_plus,Janna,Zilean,52.94
support,master_plus,Karma,Alistar,50.0
support,master_plus,Karma,Bard,45.21
support,master_plus,Karma,Blitzcrank,47.24
support,master_plus,Karma,Braum,52.99
support,master_plus,Karma,Elise,48.53
support,master_plus,Karma,Janna,35.66
support,master_plus,Karma,Leona,46.46
support,master_plus,Karma,Lulu,51.93
support,master_plus,Karma,Lux,70.18
support,master_plus,Karma,Milio,54.0
support,master_plus,Karma,Morgana,55.93
support,master_plus,Karma,Nami,52.08
support,master_plus,Karma,Nautilus,51.89
support,master_plus,Karma,Neeko,51.05
support,master_plus,Karma,Others,50.0
support,master_plus,Karma,Pantheon,58.54
support,master_plus,Karma,Poppy,50.85
support,master_plus,Karma,Pyke,56.35
support,master_plus,Karma,Rakan,58.28
support,master_plus,Karma,Rell,40.87
support,master_plus,Karma,Senna,50.0
support,master_plus,Karma,Seraphine,54.76
support,master_plus,Karma,Sona,49.59
support,master_plus,Karma,Soraka,50.77
support,master_plus,Karma,Taric,60.0
support,master_plus,Karma,Thresh,46.15
support,master_plus,Karma,Vel'Koz,54.55
support,master_plus,Karma,Xerath,48.48
support,master_plus,Karma,Yuumi,61.76
support,master_plus,Karma,Zilean,54.43
support,master_plus,Karma,Zyra,63.16
support,master_plus,LeBlanc,Others,50.0
support,master_plus,Leona,Alistar,47.41
support,master_plus,Leona,Bard,51.64
support,master_plus,Leona,Blitzcrank,46.38
support,master_plus,Leona,Braum,54.69
support,master_plus,Leona,Elise,48.39
support,master_plus,Leona,Janna,50.0
support,master_plus,Leona,Karma,53.54
support,master_plus,Leona,Lulu,55.67
support,master_plus,Leona,Milio,43.75
support,master_plus,Leona,Morgana,48.89
support,master_plus,Leona,Nami,50.0
support,master_plus,Leona,Nautilus,57.14
support,master_plus,Leona,Neeko,50.91
support,master_plus,Leona,Others,50.0
support,master_plus,Leona,Poppy,45.45
support,master_plus,Leona,Pyke,53.33
support,master_plus,Leona,Rakan,53.33
support,master_plus,Leona,Rell,48.75
support,master_plus,Leona,Senna,42.86
support,master_plus,Leona,Seraphine,46.88
support,master_plus,Leona,Sona,45.0
support,master_plus,Leona,Soraka,57.5
support,master_plus,Leona,Thresh,46.34
support,master_plus,Leona,Yuumi,42.42
support,master_plus,Lulu,Alistar,58.87
support,master_plus,Lulu,Bard,53.62
support,master_plus,Lulu,Blitzcrank,54.81
support,master_plus,Lulu,Braum,46.25
support,master_plus,Lulu,Elise,44.64
support,master_plus,Lulu,Janna,42.74
support,master_plus,Lulu,Karma,48.07
support,master_plus,Lulu,Leona,44.33
support,master_plus,Lulu,Lux,50.0
support,master_plus,Lulu,Milio,51.14
support,master_plus,Lulu,Morgana,63.33
support,master_plus,Lulu,Nami,46.84
support,master_plus,Lulu,Nautilus,38.86
support,master_plus,Lulu,Neeko,40.43
support,master_plus,Lulu,Others,50.0
support,master_plus,Lulu,Pantheon,64.86
support,master_plus,Lulu,Poppy,50.0
support,master_plus,Lulu,Pyke,48.18
support,master_plus,Lulu,Rakan,49.62
support,master_plus,Lulu,Rell,41.46
support,master_plus,Lulu,Renata Glasc,42.42
support,master_plus,Lulu,Senna,42.31
support,master_plus,Lulu,Seraphine,40.0
support,master_plus,Lulu,Sona,42.86
support,master_plus,Lulu,Soraka,40.83
support,master_plus,Lulu,Taric,54.29
support,master_plus,Lulu,Thresh,42.13
support,master_plus,Lulu,Vel'Koz,30.56
support,master_plus,Lulu,Yuumi,52.94
support,master_plus,Lulu,Zilean,45.71
support,master_plus,Lulu,Zyra,62.16
support,master_plus,Lux,Bard,53.85
support,master_plus,Lux,Blitzcrank,58.06
support,master_plus,Lux,Karma,29.82
support,master_plus,Lux,Lulu,50.0
support,master_plus,Lux,Nami,50.0
support,master_plus,Lux,Nautilus,48.72
support,master_plus,Lux,Others,50.0
support,master_plus,Lux,Thresh,43.33
support,master_plus,Maokai,Bard,61.29
support,master_plus,Maokai,Others,50.0
support,master_plus,Mel,Nami,39.53
support,master_plus,Mel,Others,50.0
support,master_plus,Mel,Pyke,50.0
support,master_plus,Mel,Thresh,36.11
support,master_plus,Milio,Alistar,50.59
support,master_plus,Milio,Bard,43.87
support,master_plus,Milio,Blitzcrank,43.62
support,master_plus,Milio,Braum,48.05
support,master_plus,Milio,Elise,61.76
support,master_plus,Milio,Janna,47.25
support,master_plus,Milio,Karma,45.85
support,master_plus,Milio,Leona,56.92
support,master_plus,Milio,Lulu,49.55
support,master_plus,Milio,Morgana,61.29
support,master_plus,Milio,Nami,49.28
support,master_plus,Milio,Nautilus,49.61
support,master_plus,Milio,Neeko,53.13
support,master_plus,Milio,Others,50.0
support,master_plus,Milio,Poppy,58.82
support,master_plus,Milio,Pyke,39.6
support,master_plus,Milio,Rakan,50.0
support,master_plus,Milio,Rell,41.46
support,master_plus,Milio,Senna,47.95
support,master_plus,Milio,Seraphine,55.1
support,master_plus,Milio,Sona,52.63
support,master_plus,Milio,Soraka,52.38
support,master_plus,Milio,Thresh,43.88
support,master_plus,Milio,Vel'Koz,45.71
support,master_plus,Milio,Yuumi,56.6
support,master_plus,Milio,Zilean,44.0
support,master_plus,Morgana,Alistar,62.79
support,master_plus,Morgana,Bard,53.85
support,master_plus,Morgana,Blitzcrank,52.38
support,master_plus,Morgana,Braum,46.67
support,master_plus,Morgana,Karma,44.07
support,master_plus,Morgana,Leona,51.11
support,master_plus,Morgana,Lulu,36.67
support,master_plus,Morgana,Milio,40.0
support,master_plus,Morgana,Nami,39.13
support,master_plus,Morgana,Nautilus,51.47
support,master_plus,Morgana,Others,50.0
support,master_plus,Morgana,Pyke,53.33
support,master_plus,Morgana,Rakan,59.46
support,master_plus,Morgana,Rell,37.5
support,master_plus,Morgana,Thresh,49.49
support,master_plus,Nami,Alistar,50.42
support,master_plus,Nami,Bard,49.46
support,master_plus,Nami,Blitzcrank,47.12
support,master_plus,Nami,Braum,57.14
support,master_plus,Nami,Elise,38.3
support,master_plus,Nami,Janna,51.35
support,master_plus,Nami,Karma,47.92
support,master_plus,Nami,Leona,50.0
support,master_plus,Nami,Lulu,53.16
