team_blue,team_red
Team Heretics,Team Vitality
Natus Vincere,Movistar KOI
Team Heretics,GIANTX
G2 Esports,Karmine Corp
SK Gaming,Team Vitality
Team Vitality,Karmine Corp
SK Gaming,G2 Esports
Movistar KOI,SK Gaming
Fnatic,Team Heretics
G2 Esports,Team Vitality
GIANTX,Team BDS
Karmine Corp,Natus Vincere
Fnatic,Team BDS
Team Vitality,Team BDS
SK Gaming,Team Heretics
Movistar KOI,GIANTX
G2 Esports,Fnatic
Movistar KOI,Fnatic
GIANTX,G2 Esports
Team Vitality,Movistar KOI
SK Gaming,Natus Vincere
Team BDS,G2 Esports
Team Heretics,Team Vitality
Karmine Corp,GIANTX
Fnatic,Natus Vincere
Team Heretics,Karmine Corp
GIANTX,SK Gaming
Team BDS,Movistar KOI
Team Vitality,Fnatic
Karmine Corp,SK Gaming
Natus Vincere,G2 Esports
Team Heretics,Team BDS
Movistar KOI,Team Heretics
GIANTX,Natus Vincere
Karmine Corp,Fnatic
Team BDS,SK Gaming
G2 Esports,Team Heretics
Team BDS,Karmine Corp
Natus Vincere,Team Vitality
SK Gaming,Fnatic
Team BDS,Natus Vincere
Karmine Corp,Movistar KOI
GIANTX,Team Vitality
G2 Esports,Movistar KOI
Natus Vincere,Team Heretics
Fnatic,GIANTX
Natus Vincere,Movistar KOI
Team Heretics,GIANTX
Karmine Corp,G2 Esports
G2 Esports,Karmine Corp
Team Vitality,SK Gaming
Team Vitality,Karmine Corp
Karmine Corp,Team Vitality
G2 Esports,SK Gaming
SK Gaming,Movistar KOI
Team Heretics,Fnatic
G2 Esports,Team Vitality
GIANTX,Team BDS
Karmine Corp,Natus Vincere
Fnatic,Team BDS
Team Vitality,Team BDS
Team Vitality,Team BDS
Team Heretics,SK Gaming
GIANTX,Movistar KOI
Movistar KOI,GIANTX
Fnatic,G2 Esports
G2 Esports,Fnatic
Movistar KOI,Fnatic
Movistar KOI,Fnatic
GIANTX,G2 Esports
GIANTX,G2 Esports
Movistar KOI,Team Vitality
Natus Vincere,SK Gaming
SK Gaming,Natus Vincere
G2 Esports,Team BDS
Team Vitality,Team Heretics
GIANTX,Karmine Corp
Karmine Corp,GIANTX
Natus Vincere,Fnatic
Karmine Corp,Team Heretics
Team Heretics,Karmine Corp
GIANTX,SK Gaming
Movistar KOI,Team BDS
Fnatic,Team Vitality
SK Gaming,Karmine Corp
G2 Esports,Natus Vincere
Team BDS,Team Heretics
Team Heretics,Team BDS
Team Heretics,Movistar KOI
Natus Vincere,GIANTX
Fnatic,Karmine Corp
Karmine Corp,Fnatic
Team BDS,SK Gaming
Team Heretics,G2 Esports
Karmine Corp,Team BDS
Natus Vincere,Team Vitality
Fnatic,SK Gaming
Natus Vincere,Team BDS
Team BDS,Natus Vincere
Movistar KOI,Karmine Corp
Karmine Corp,Movistar KOI
GIANTX,Team Vitality
Movistar KOI,G2 Esports
Movistar KOI,G2 Esports
Natus Vincere,Team Heretics
GIANTX,Fnatic
