split,game_id,game_date,team_blue,team_red,winning_team,top_blue,jgl_blue,mid_blue,adc_blue,sup_blue,top_red,jgl_red,mid_red,adc_red,sup_red
LEC 2025 Spring Season,67871,2025-05-13,Team Heretics,Team Vitality,Team Heretics,Aatrox,Naafiri,Ahri,Varus,Nautilus,Gnar,Xin Zhao,Azir,Jhin,Renata Glasc
LEC 2025 Spring Season,67552,2025-05-12,Rogue,Movistar KOI,Movistar KOI,Yorick,Pantheon,Taliyah,Kaisa,Rell,Ambessa,Vi,Ahri,Xayah,Rakan
LEC 2025 Spring Season,67549,2025-05-12,Team Heretics,GIANTX,GIANTX,Gwen,Maokai,Tristana,Jhin,Rell,Jax,Nidalee,Sion,Kaisa,Gragas
LEC 2025 Spring Season,67546,2025-05-11,G2 Esports,Karmine Corp,G2 Esports,Jax,Xin Zhao,Galio,Varus,Nautilus,Gnar,Vi,Sylas,Kaisa,Neeko
LEC 2025 Spring Season,67543,2025-05-11,SK Gaming,Team Vitality,Team Vitality,Gragas,Vi,Taliyah,Ezreal,Leona,Aatrox,Pantheon,Viktor,Jhin,Neeko
LEC 2025 Spring Season,67540,2025-05-10,Team Vitality,Karmine Corp,Karmine Corp,Gwen,Poppy,Yone,Kaisa,Neeko,Rumble,Vi,Sylas,Varus,Leona
LEC 2025 Spring Season,67537,2025-05-10,SK Gaming,G2 Esports,G2 Esports,Jayce,Vi,Ahri,Corki,Rakan,KSante,Pantheon,Taliyah,Kaisa,Alistar
LEC 2025 Spring Season,67133,2025-05-05,Movistar KOI,SK Gaming,Movistar KOI,Rumble,Xin Zhao,Taliyah,Xayah,Rakan,Aatrox,Pantheon,Ryze,Ezreal,Annie
LEC 2025 Spring Season,67130,2025-05-05,Fnatic,Team Heretics,Fnatic,Gragas,Vi,Yone,Kaisa,Nautilus,Ambessa,Sejuani,Azir,Miss Fortune,Poppy
LEC 2025 Spring Season,67127,2025-05-04,G2 Esports,Team Vitality,G2 Esports,Sion,Vi,Taliyah,Ezreal,Leona,Vladimir,Pantheon,Jayce,Xayah,Alistar
LEC 2025 Spring Season,67124,2025-05-04,GIANTX,Team BDS,GIANTX,Rumble,Skarner,Akali,Varus,Alistar,Gnar,Nocturne,Orianna,Jhin,Rakan
LEC 2025 Spring Season,67121,2025-05-03,Karmine Corp,Rogue,Karmine Corp,Gnar,Lillia,Yone,Miss Fortune,Poppy,Aatrox,Sejuani,Azir,Jhin,Rell
LEC 2025 Spring Season,67118,2025-05-03,Fnatic,Team BDS,Fnatic,Gwen,Pantheon,Taliyah,Kaisa,Rell,Rumble,Xin Zhao,Tristana,Jhin,Rakan
LEC 2025 Spring Season,66720,2025-04-28,Team Vitality,Team BDS,Team Vitality,Rumble,Naafiri,Taliyah,Jhin,Alistar,Ornn,Pantheon,Azir,Ashe,Seraphine
LEC 2025 Spring Season,66717,2025-04-28,SK Gaming,Team Heretics,Team Heretics,Gwen,Naafiri,Ahri,Corki,Leona,Rumble,Vi,Taliyah,Jhin,Rell
LEC 2025 Spring Season,66714,2025-04-27,Movistar KOI,GIANTX,Movistar KOI,Rumble,Vi,Ahri,Kaisa,Rell,Gwen,Pantheon,Taliyah,Xayah,Alistar
LEC 2025 Spring Season,66711,2025-04-27,G2 Esports,Fnatic,G2 Esports,Jax,Maokai,Jayce,Varus,Alistar,KSante,Vi,Taliyah,Ezreal,Braum
LEC 2025 Spring Season,66708,2025-04-26,Movistar KOI,Fnatic,Fnatic,Rumble,Naafiri,Ahri,Corki,Rell,Warwick,Pantheon,Taliyah,Kaisa,Alistar
LEC 2025 Spring Season,66705,2025-04-26,GIANTX,G2 Esports,GIANTX,Jax,Sejuani,Yone,Miss Fortune,Neeko,Malphite,Xin Zhao,Aurora,Ezreal,Alistar
LEC 2025 Spring Season,66279,2025-04-21,Team Vitality,Movistar KOI,Team Vitality,Rumble,Pantheon,Viktor,Kaisa,Poppy,Gwen,Xin Zhao,Taliyah,Jhin,Rell
LEC 2025 Spring Season,66276,2025-04-21,SK Gaming,Rogue,SK Gaming,Rumble,Vi,Corki,Ezreal,Rell,Galio,Xin Zhao,Orianna,Kalista,Rakan
LEC 2025 Spring Season,66273,2025-04-20,Team BDS,G2 Esports,Team BDS,Gnar,Maokai,Tristana,Ziggs,Leona,Yasuo,Dr. Mundo,Taliyah,Kaisa,Nautilus
LEC 2025 Spring Season,66270,2025-04-20,Team Heretics,Team Vitality,Team Heretics,Ambessa,Sejuani,Taliyah,Varus,Rakan,Jax,Vi,Ahri,Ezreal,Alistar
LEC 2025 Spring Season,66267,2025-04-19,Karmine Corp,GIANTX,Karmine Corp,Rumble,Xin Zhao,Taliyah,Ezreal,Rakan,Aurora,Skarner,Hwei,Varus,Neeko
LEC 2025 Spring Season,66264,2025-04-19,Fnatic,Rogue,Fnatic,Sion,Pantheon,Orianna,Kalista,Rell,Jayce,Maokai,Viktor,Varus,Alistar
LEC 2025 Spring Season,65784,2025-04-14,Team Heretics,Karmine Corp,Team Heretics,Gnar,Naafiri,Taliyah,Ezreal,Rakan,Ambessa,Vi,Azir,Miss Fortune,Rell
LEC 2025 Spring Season,65781,2025-04-14,GIANTX,SK Gaming,SK Gaming,Rumble,Vi,Azir,Miss Fortune,Alistar,Varus,Sejuani,Sylas,Corki,Rell
LEC 2025 Spring Season,65778,2025-04-13,Team BDS,Movistar KOI,Movistar KOI,Rumble,Skarner,Taliyah,Ashe,Nautilus,Varus,Ivern,Azir,Ezreal,Alistar
LEC 2025 Spring Season,65775,2025-04-13,Team Vitality,Fnatic,Fnatic,Gnar,Maokai,Viktor,Sivir,Alistar,Gwen,Skarner,Aurelion Sol,Varus,Renata Glasc
LEC 2025 Spring Season,65772,2025-04-12,Karmine Corp,SK Gaming,Karmine Corp,Ambessa,Sejuani,Yone,Kalista,Leona,Sion,Lillia,Taliyah,Corki,Alistar
LEC 2025 Spring Season,65769,2025-04-12,Rogue,G2 Esports,G2 Esports,Aurora,Sejuani,Azir,Ezreal,Nautilus,Galio,Pantheon,Taliyah,Kaisa,Rakan
LEC 2025 Spring Season,65766,2025-04-12,Team Heretics,Team BDS,Team Heretics,Ambessa,Sejuani,Azir,Varus,Renata Glasc,Gwen,Skarner,Taliyah,Corki,Rell
LEC 2025 Spring Season,65425,2025-04-07,Movistar KOI,Team Heretics,Movistar KOI,Rumble,Sejuani,Yone,Varus,Rakan,Ambessa,Zyra,Tristana,Corki,Leona
LEC 2025 Spring Season,65422,2025-04-07,GIANTX,Rogue,GIANTX,Gwen,Skarner,Orianna,Corki,Neeko,Jayce,Maokai,Taliyah,Varus,Karma
LEC 2025 Spring Season,65419,2025-04-06,Karmine Corp,Fnatic,Karmine Corp,Jayce,Naafiri,Taliyah,Ezreal,Alistar,Ambessa,Wukong,Azir,Varus,Rakan
LEC 2025 Spring Season,65416,2025-04-06,Team BDS,SK Gaming,Team BDS,Gnar,Skarner,Azir,Jhin,Rell,Jayce,Lillia,Yone,Varus,Leona
