team,games_played,winrate_lastN,avg_gold_diff_lastN,avg_gold_diff_at14_lastN,avg_game_time_lastN
Astralis,42,0.3333333333333333,-4173.333333333333,-157.2,1815.7333333333333
Fnatic,176,0.5333333333333333,326.6666666666667,-100.53333333333333,2109.5333333333333
G2 Esports,181,0.8666666666666667,7353.333333333333,1023.3333333333334,1936.7333333333333
GIANTX,116,0.4,-1766.6666666666667,-535.0,2113.0
Karmine Corp,61,0.5333333333333333,-360.0,147.26666666666668,1946.2
Movistar KOI,229,0.5333333333333333,3180.0,1081.6666666666667,1918.8666666666666
Natus Vincere,38,0.13333333333333333,-7900.0,-415.53333333333336,2157.2
SK Gaming,113,0.13333333333333333,-7780.0,-369.53333333333336,1776.4666666666667
Team BDS,162,0.4,-1253.3333333333333,241.33333333333334,2222.0666666666666
Team Heretics,103,0.26666666666666666,-7100.0,-974.0,1968.5333333333333
Team Vitality,105,0.4,-1620.0,-718.5714285714286,2128.266666666667
