split,game_id,game_date,team_blue,team_red,winning_team,top_blue,jgl_blue,mid_blue,adc_blue,sup_blue,top_red,jgl_red,mid_red,adc_red,sup_red
LEC 2025 Summer Season,71523,2025-08-26,Natus Vincere,GIANTX,GIANTX,Olaf,Wukong,Akali,Jhin,Rell,Sion,Xin Zhao,Annie,Varus,Gragas
LEC 2025 Summer Season,71520,2025-08-26,Team Vitality,Movistar KOI,Movistar KOI,Aurora,Pantheon,Ryze,Corki,Rakan,Rumble,Poppy,Orianna,Yunara,Rell
LEC 2025 Summer Season,71517,2025-08-25,Team BDS,Team Heretics,Team Heretics,Sion,Wukong,Orianna,Kaisa,Rell,Gwen,Sejuani,Jayce,Corki,Nautilus
LEC 2025 Summer Season,71514,2025-08-25,SK Gaming,G2 Esports,G2 Esports,Gwen,Trundle,Ryze,Corki,Nautilus,Jax,Jarvan IV,Annie,Xayah,Rakan
LEC 2025 Summer Season,71040,2025-08-18,G2 Esports,Team BDS,G2 Esports,KSante,Trundle,Annie,Yunara,Braum,Ambessa,Wukong,Azir,Corki,Nautilus
LEC 2025 Summer Season,71037,2025-08-18,Karmine Corp,Team Vitality,Karmine Corp,Rumble,Poppy,Azir,Yunara,Rakan,Ambessa,Xin Zhao,Taliyah,Kaisa,Rell
LEC 2025 Summer Season,71034,2025-08-17,Fnatic,G2 Esports,G2 Esports,Sion,Jarvan IV,Azir,Lucian,Braum,Kled,Pantheon,Taliyah,Kaisa,Alistar
LEC 2025 Summer Season,71031,2025-08-17,Team Vitality,Natus Vincere,Team Vitality,Rumble,Jarvan IV,Orianna,Xayah,Rakan,Jayce,Pantheon,Viktor,Corki,Bard
LEC 2025 Summer Season,71028,2025-08-16,Team Heretics,SK Gaming,SK Gaming,KSante,Brand,Corki,Varus,Nautilus,Aurora,Nocturne,Orianna,Sivir,Rell
LEC 2025 Summer Season,71025,2025-08-16,Movistar KOI,Natus Vincere,Movistar KOI,Ambessa,Trundle,Azir,Kaisa,Rakan,Sion,Zyra,Akali,Jinx,Leona
LEC 2025 Summer Season,70721,2025-08-10,Karmine Corp,Movistar KOI,Karmine Corp,Rumble,Skarner,Azir,Yunara,Milio,Aurora,Lillia,Yone,Aphelios,Alistar
LEC 2025 Summer Season,70718,2025-08-10,Fnatic,Team BDS,Fnatic,Rumble,Jarvan IV,Ryze,Varus,Alistar,Sion,Xin Zhao,Viktor,Aphelios,Rakan
LEC 2025 Summer Season,70715,2025-08-09,Movistar KOI,GIANTX,GIANTX,Aurora,Wukong,Azir,Sivir,Neeko,KSante,Trundle,Taliyah,Kaisa,Nautilus
LEC 2025 Summer Season,70712,2025-08-09,G2 Esports,Team Heretics,G2 Esports,Sion,Poppy,Annie,Jinx,Alistar,KSante,Wukong,Azir,Yunara,Braum
LEC 2025 Summer Season,70379,2025-08-04,GIANTX,Team Vitality,GIANTX,Ambessa,Sejuani,Azir,Corki,Rell,KSante,Maokai,Ziggs,Lucian,Braum
LEC 2025 Summer Season,70376,2025-08-04,SK Gaming,Fnatic,Fnatic,Gwen,Pantheon,Ryze,Kaisa,Nautilus,Rumble,Wukong,Orianna,Yunara,Braum
LEC 2025 Summer Season,70373,2025-08-03,GIANTX,Karmine Corp,Karmine Corp,Gwen,Trundle,Orianna,Lucian,Alistar,Jax,Jarvan IV,Ryze,Ezreal,Neeko
LEC 2025 Summer Season,70370,2025-08-03,Team BDS,SK Gaming,Team BDS,Aurora,Wukong,Sylas,Jinx,Rell,Rumble,Trundle,Azir,Corki,Nautilus
LEC 2025 Summer Season,70367,2025-08-02,Team Heretics,Fnatic,Fnatic,KSante,Nocturne,Taliyah,Yunara,Rell,Rumble,Wukong,Orianna,Kaisa,Alistar
LEC 2025 Summer Season,70364,2025-08-02,Natus Vincere,Karmine Corp,Karmine Corp,Aatrox,Pantheon,Orianna,Yunara,Alistar,Sion,Wukong,Taliyah,Xayah,Rakan
LEC 2025 Summer Season,71524,2025-08-26,Natus Vincere,GIANTX,GIANTX,Jayce,Sejuani,Azir,Xayah,Rakan,Aurora,Maokai,Yone,Ezreal,Nautilus
LEC 2025 Summer Season,71521,2025-08-26,Movistar KOI,Team Vitality,Movistar KOI,Gwen,Wukong,Yone,Sivir,Braum,Yasuo,Xin Zhao,Twisted Fate,Xayah,Nautilus
LEC 2025 Summer Season,71518,2025-08-25,Team Heretics,Team BDS,Team BDS,Rumble,Xin Zhao,Sylas,Xayah,Rakan,Aurora,Vi,Taliyah,Aphelios,Alistar
LEC 2025 Summer Season,71519,2025-08-25,Team Heretics,Team BDS,Team Heretics,KSante,Brand,Yone,Ezreal,Leona,Ambessa,Skarner,Ryze,Zeri,Neeko
LEC 2025 Summer Season,71515,2025-08-25,G2 Esports,SK Gaming,G2 Esports,Sion,Dr. Mundo,Orianna,Kaisa,Neeko,Yone,Poppy,Akali,Ezreal,Bard
LEC 2025 Summer Season,71041,2025-08-18,G2 Esports,Team BDS,G2 Esports,Dr. Mundo,Poppy,Orianna,Xayah,Rakan,Jax,Sejuani,Viktor,Aphelios,Blitzcrank
LEC 2025 Summer Season,71038,2025-08-18,Karmine Corp,Team Vitality,Team Vitality,Jayce,Vi,Annie,Corki,Leona,Yorick,Jarvan IV,Ryze,Ziggs,Alistar
LEC 2025 Summer Season,71039,2025-08-18,Karmine Corp,Team Vitality,Team Vitality,Gnar,Wukong,Galio,Sivir,Karma,KSante,Trundle,Orianna,Xayah,Pyke
LEC 2025 Summer Season,71035,2025-08-17,Fnatic,G2 Esports,G2 Esports,KSante,Wukong,Annie,Jhin,Neeko,RekSai,Xin Zhao,Galio,Ezreal,Karma
LEC 2025 Summer Season,71032,2025-08-17,Natus Vincere,Team Vitality,Team Vitality,Sion,Wukong,Ryze,Lucian,Braum,Ambessa,Xin Zhao,Annie,Ziggs,Alistar
LEC 2025 Summer Season,71029,2025-08-16,Team Heretics,SK Gaming,Team Heretics,Rumble,Lillia,Yone,Jhin,Rakan,Ambessa,Trundle,Taliyah,Lucian,Bard
LEC 2025 Summer Season,71030,2025-08-16,SK Gaming,Team Heretics,SK Gaming,Gwen,Vi,Galio,Jinx,Lulu,Jax,Poppy,Ryze,Aphelios,Neeko
