team,games_played,winrate,avg_gold_diff,avg_gold_diff_at14,avg_game_time,median_game_time
Astralis,42,0.40476190476190477,-2857.1428571428573,-217.1904761904762,1822.9761904761904,1802.5
Fnatic,201,0.572139303482587,1999.004975124378,161.075,1929.3532338308457,1879.0
G2 Esports,210,0.719047619047619,5006.190476190476,875.9428571428572,1885.2285714285715,1853.5
GIANTX,137,0.3795620437956204,-2664.963503649635,-774.6131386861314,1969.043795620438,1891.0
Karmine Corp,88,0.5454545454545454,1093.1818181818182,-276.77272727272725,1996.8522727272727,1937.0
Movistar KOI,251,0.4900398406374502,-224.30278884462152,329.17269076305223,1907.402390438247,1846.0
Natus Vincere,58,0.22413793103448276,-6063.793103448276,-391.62068965517244,2049.0344827586205,1986.5
SK Gaming,132,0.4090909090909091,-2706.818181818182,-385.82575757575756,1914.25,1875.0
Team BDS,183,0.5245901639344263,202.73224043715848,-184.55737704918033,2016.8142076502731,1979.0
Team Heretics,124,0.4112903225806452,-2231.451612903226,-550.3467741935484,1972.9354838709678,1939.0
Team Vitality,126,0.4444444444444444,-470.63492063492066,137.064,1962.547619047619,1892.5
