team,games_played,winrate_lastN,avg_gold_diff_lastN,avg_gold_diff_at14_lastN,avg_game_time_lastN
Astralis,42,0.3333333333333333,-4173.333333333333,-157.2,1815.7333333333333
Fnatic,151,0.4666666666666667,1513.3333333333333,1225.7333333333333,2082.2
G2 Esports,164,0.7333333333333333,6353.333333333333,1118.2,1983.8666666666666
GIANTX,100,0.3333333333333333,-5253.333333333333,-1966.7333333333333,1943.3333333333333
Karmine Corp,39,0.5333333333333333,-1420.0,-335.26666666666665,1993.4666666666667
Movistar KOI,210,0.4,-2673.3333333333335,244.06666666666666,1961.2
Natus Vincere,29,0.26666666666666666,-5766.666666666667,-374.0,1997.0666666666666
SK Gaming,104,0.4666666666666667,-466.6666666666667,412.6,1808.2
Team BDS,145,0.4,-2500.0,-84.4,2001.2666666666667
Team Heretics,89,0.3333333333333333,-2200.0,-351.3333333333333,1903.4666666666667
Team Vitality,91,0.26666666666666666,-2953.3333333333335,308.42857142857144,1875.8666666666666
